match_id,date,home_team_id,away_team_id,home_elo,home_fifa_rank,home_recent_form,home_attack_strength,home_defense_strength,away_elo,away_fifa_rank,away_recent_form,away_attack_strength,away_defense_strength,home_advantage,competition_weight,neutral,elo_difference,ranking_difference,attack_difference,defense_difference,recent_form_difference,competition_strength,historical_win_rate,head_to_head_score,home_score,away_score,result
1,2010-01-01 00:00:00,147,10,1500.0,50,0.5,1.0,1.0,1500.0,50,0.5,1.0,1.0,100,0.9,0,0.0,0,0.0,0.0,0.0,0.9,0.5,0.0,0,0,1
2,2010-01-01 00:00:00,98,73,1500.0,50,0.5,1.0,1.0,1500.0,50,0.5,1.0,1.0,100,0.3,0,0.0,0,0.0,0.0,0.0,0.3,0.5,0.0,1,1,1
3,2010-01-03 00:00:00,119,141,1500.0,50,0.5,1.0,1.0,1500.0,50,0.5,1.0,1.0,100,0.3,0,0.0,0,0.0,0.0,0.0,0.3,0.5,0.0,2,1,0
4,2010-01-03 00:00:00,142,29,1500.0,50,0.5,1.0,1.0,1500.0,50,0.5,1.0,1.0,100,0.3,0,0.0,0,0.0,0.0,0.0,0.3,0.5,0.0,1,1,1
5,2010-01-03 00:00:00,15,105,1500.0,50,0.5,1.0,1.0,1500.0,50,0.5,1.0,1.0,100,0.3,0,0.0,0,0.0,0.0,0.0,0.3,0.5,0.0,2,1,0
6,2010-01-03 00:00:00,63,80,1500.0,50,0.5,1.0,1.0,1500.0,50,0.5,1.0,1.0,100,0.9,0,0.0,0,0.0,0.0,0.0,0.9,0.5,0.0,2,3,2
7,2010-01-04 00:00:00,156,49,1500.0,50,0.5,1.0,1.0,1500.0,50,0.5,1.0,1.0,0,1.0,1,0.0,0,0.0,0.0,0.0,1.0,0.5,0.0,2,2,1
8,2010-01-04 00:00:00,90,44,1500.0,50,0.5,1.0,1.0,1500.0,50,0.5,1.0,1.0,100,0.9,0,0.0,0,0.0,0.0,0.0,0.9,0.5,0.0,1,0,0
9,2010-01-04 00:00:00,89,59,1500.0,50,0.5,1.0,1.0,1500.0,50,0.5,1.0,1.0,100,0.7,0,0.0,0,0.0,0.0,0.0,0.7,0.5,0.0,2,0,0
10,2010-01-07 00:00:00,155,29,1500.0,50,0.5,1.0,1.0,1500.0,50,0.5,1.0,1.0,100,0.9,0,0.0,0,0.0,0.0,0.0,0.9,0.5,0.0,1,2,2
11,2010-01-07 00:00:00,74,13,1500.0,50,0.5,1.0,1.0,1500.0,50,0.5,1.0,1.0,100,0.8,0,0.0,0,0.0,0.0,0.0,0.8,0.5,0.0,0,0,1
12,2010-01-08 00:00:00,120,90,1500.0,50,0.5,1.0,1.0,1515.0,50,1.0,1.0,0.0,100,0.9,0,-15.0,0,0.0,1.0,-0.5,0.9,0.5,0.0,2,1,0
13,2010-01-08 00:00:00,115,50,1500.0,50,0.5,1.0,1.0,1500.0,50,0.5,1.0,1.0,100,0.3,0,0.0,0,0.0,0.0,0.0,0.3,0.5,0.0,3,2,0
14,2010-01-08 00:00:00,129,94,1500.0,50,0.5,1.0,1.0,1500.0,50,0.5,1.0,1.0,100,0.7,0,0.0,0,0.0,0.0,0.0,0.7,0.5,0.0,1,0,0
15,2010-01-10 00:00:00,128,24,1500.0,50,0.5,1.0,1.0,1500.0,50,0.5,1.0,1.0,0,1.0,1,0.0,0,0.0,0.0,0.0,1.0,0.5,0.0,0,1,2
16,2010-01-11 00:00:00,111,92,1500.0,50,0.5,1.0,1.0,1500.0,50,0.5,1.0,1.0,100,0.9,0,0.0,0,0.0,0.0,0.0,0.9,0.5,0.0,2,2,1
17,2010-01-11 00:00:00,34,8,1500.0,50,0.5,1.0,1.0,1500.0,50,0.5,1.0,1.0,100,0.7,0,0.0,0,0.0,0.0,0.0,0.7,0.5,0.0,0,2,2
18,2010-01-12 00:00:00,148,127,1500.0,50,0.5,1.0,1.0,1500.0,50,0.5,1.0,1.0,100,0.9,0,0.0,0,0.0,0.0,0.0,0.9,0.5,0.0,2,0,0
19,2010-01-12 00:00:00,60,17,1500.0,50,0.5,1.0,1.0,1500.0,50,0.5,1.0,1.0,100,0.9,0,0.0,0,0.0,0.0,0.0,0.9,0.5,0.0,1,1,1
20,2010-01-13 00:00:00,39,101,1500.0,50,0.5,1.0,1.0,1500.0,50,0.5,1.0,1.0,100,0.3,0,0.0,0,0.0,0.0,0.0,0.3,0.5,0.0,0,0,1
21,2010-01-13 00:00:00,69,38,1500.0,50,0.5,1.0,1.0,1500.0,50,0.5,1.0,1.0,100,0.9,0,0.0,0,0.0,0.0,0.0,0.9,0.5,0.0,0,1,2
22,2010-01-13 00:00:00,134,112,1500.0,50,0.5,1.0,1.0,1500.0,50,0.5,1.0,1.0,100,0.9,0,0.0,0,0.0,0.0,0.0,0.9,0.5,0.0,0,1,2
23,2010-01-14 00:00:00,26,76,1500.0,50,0.5,1.0,1.0,1500.0,50,0.5,1.0,1.0,100,0.7,0,0.0,0,0.0,0.0,0.0,0.7,0.5,0.0,0,2,2
24,2010-01-16 00:00:00,78,32,1500.0,50,0.5,1.0,1.0,1500.0,50,0.5,1.0,1.0,100,0.3,0,0.0,0,0.0,0.0,0.0,0.3,0.5,0.0,2,0,0
25,2010-01-18 00:00:00,25,59,1500.0,50,0.5,1.0,1.0,1485.0,50,0.0,0.0,2.0,100,0.9,0,15.0,0,1.0,-1.0,0.5,0.9,0.5,0.0,1,0,0
26,2010-01-20 00:00:00,26,156,1485.0,50,0.0,0.0,2.0,1500.0,50,0.5,2.0,2.0,100,0.9,0,-15.0,0,-2.0,0.0,-0.5,0.9,0.5,0.0,0,1,2
27,2010-01-21 00:00:00,30,126,1500.0,50,0.5,1.0,1.0,1500.0,50,0.5,1.0,1.0,0,1.0,1,0.0,0,0.0,0.0,0.0,1.0,0.5,0.0,0,1,2
28,2010-01-23 00:00:00,29,77,1515.0,50,0.75,1.5,1.0,1500.0,50,0.5,1.0,1.0,100,0.7,0,15.0,0,0.5,0.0,0.25,0.7,0.5,0.0,0,1,2
29,2010-01-24 00:00:00,85,81,1500.0,50,0.5,1.0,1.0,1500.0,50,0.5,1.0,1.0,0,1.0,1,0.0,0,0.0,0.0,0.0,1.0,0.5,0.0,1,2,2
30,2010-01-25 00:00:00,26,67,1470.6471999915343,50,0.0,0.0,1.5,1500.0,50,0.5,1.0,1.0,100,0.9,0,-29.352800008465692,0,-1.0,0.5,-0.5,0.9,0.5,0.0,1,0,0
31,2010-01-25 00:00:00,98,115,1500.0,50,0.5,1.0,1.0,1515.0,50,1.0,3.0,2.0,100,0.5,0,-15.0,0,-2.0,-1.0,-0.5,0.5,0.5,0.0,1,3,2
32,2010-01-26 00:00:00,9,54,1500.0,50,0.5,1.0,1.0,1500.0,50,0.5,1.0,1.0,100,0.3,0,0.0,0,0.0,0.0,0.0,0.3,0.5,0.0,1,0,0
33,2010-01-26 00:00:00,35,96,1500.0,50,0.5,1.0,1.0,1500.0,50,0.5,1.0,1.0,100,0.7,0,0.0,0,0.0,0.0,0.0,0.7,0.5,0.0,2,1,0
34,2010-01-27 00:00:00,73,65,1500.0,50,0.5,1.0,1.0,1500.0,50,0.5,1.0,1.0,100,0.9,0,0.0,0,0.0,0.0,0.0,0.9,0.5,0.0,2,0,0
35,2010-01-28 00:00:00,69,48,1485.0,50,0.0,0.0,1.0,1500.0,50,0.5,1.0,1.0,100,0.3,0,-15.0,0,-1.0,0.0,-0.5,0.3,0.5,0.0,1,0,0
36,2010-01-29 00:00:00,52,130,1500.0,50,0.5,1.0,1.0,1500.0,50,0.5,1.0,1.0,0,1.0,1,0.0,0,0.0,0.0,0.0,1.0,0.5,0.0,1,1,1
37,2010-01-29 00:00:00,95,79,1500.0,50,0.5,1.0,1.0,1500.0,50,0.5,1.0,1.0,100,0.9,0,0.0,0,0.0,0.0,0.0,0.9,0.5,0.0,1,1,1
38,2010-01-29 00:00:00,131,47,1500.0,50,0.5,1.0,1.0,1500.0,50,0.5,1.0,1.0,0,1.0,1,0.0,0,0.0,0.0,0.0,1.0,0.5,0.0,0,1,2
39,2010-01-30 00:00:00,93,82,1500.0,50,0.5,1.0,1.0,1500.0,50,0.5,1.0,1.0,100,0.3,0,0.0,0,0.0,0.0,0.0,0.3,0.5,0.0,2,1,0
40,2010-01-31 00:00:00,157,133,1500.0,50,0.5,1.0,1.0,1500.0,50,0.5,1.0,1.0,100,0.7,0,0.0,0,0.0,0.0,0.0,0.7,0.5,0.0,1,1,1
41,2010-01-31 00:00:00,10,89,1500.0,50,0.5,0.0,0.0,1515.0,50,1.0,2.0,0.0,100,0.9,0,-15.0,0,-2.0,0.0,-0.5,0.9,0.5,0.0,2,1,0
42,2010-02-01 00:00:00,146,149,1500.0,50,0.5,1.0,1.0,1500.0,50,0.5,1.0,1.0,100,0.9,0,0.0,0,0.0,0.0,0.0,0.9,0.5,0.0,1,1,1
43,2010-02-02 00:00:00,82,77,1485.0,50,0.0,1.0,2.0,1515.0,50,1.0,1.0,0.0,100,0.9,0,-30.0,0,0.0,2.0,-1.0,0.9,0.5,0.0,2,0,0
